Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A
SP1,13/12/08,Barcelona,Real Madrid,2,0,H,0,0,D,19,6,8,3,13,19,3,5,0,0,1.57,3.8,6
SP1,02/05/09,Real Madrid,Barcelona,2,6,A,1,3,A,5,17,4,13,22,9,4,2,0,0,2.5,3.4,2.75
SP1,29/11/09,Barcelona,Real Madrid,1,0,H,0,0,D,9,16,4,2,17,25,0,4,1,1,1.85,3.6,4
SP1,10/04/10,Real Madrid,Barcelona,0,2,A,0,1,A,16,8,7,4,30,15,4,4,0,0,2.5,3.4,2.7
SP1,29/11/10,Barcelona,Real Madrid,5,0,H,2,0,H,15,5,6,2,12,16,5,7,0,1,2.1,3.3,3.5
SP1,16/04/11,Real Madrid,Barcelona,1,1,D,0,0,D,13,11,6,6,22,14,2,5,1,0,2.75,3.6,2.38
SP1,10/12/11,Real Madrid,Barcelona,1,3,A,1,1,D,17,12,5,7,22,13,4,3,0,0,2.4,3.5,2.8
SP1,21/04/12,Barcelona,Real Madrid,1,2,A,0,1,A,14,14,3,6,11,20,2,4,0,0,1.62,4,5
SP1,07/10/12,Barcelona,Real Madrid,2,2,D,1,1,D,10,10,2,3,17,16,2,4,0,0,1.83,4,3.75
SP1,02/03/13,Real Madrid,Barcelona,2,1,H,1,1,D,14,5,6,2,21,19,4,6,0,1,2.88,3.6,2.3
SP1,26/10/13,Barcelona,Real Madrid,2,1,H,1,0,H,12,10,5,6,19,16,2,5,0,0,1.75,4,4.33
SP1,23/03/14,Real Madrid,Barcelona,3,4,A,2,2,D,13,18,8,6,24,12,5,2,1,0,2.25,3.5,3
SP1,25/10/14,Real Madrid,Barcelona,3,1,H,1,1,D,18,16,6,5,11,10,2,4,0,0,2.38,3.75,3
SP1,22/03/15,Barcelona,Real Madrid,2,1,H,1,1,D,17,13,5,4,9,14,5,6,0,0,1.67,4.5,4.5
SP1,21/11/15,Real Madrid,Barcelona,0,4,A,0,2,A,13,18,7,7,13,10,3,2,1,0,2.5,3.75,2.8
SP1,02/04/16,Barcelona,Real Madrid,1,2,A,0,0,D,14,14,3,6,17,15,3,2,0,1,1.57,4.5,5.5
SP1,03/12/16,Barcelona,Real Madrid,1,1,D,0,0,D,11,14,2,5,19,16,4,2,0,0,1.85,4.2,4.2
SP1,23/04/17,Real Madrid,Barcelona,2,3,A,1,1,D,22,16,14,9,13,8,2,2,1,0,2.05,4,3.2
SP1,23/12/17,Real Madrid,Barcelona,0,3,A,0,0,D,14,18,5,11,14,10,2,2,1,0,2.1,3.75,3.1
SP1,06/05/18,Barcelona,Real Madrid,2,2,D,1,1,D,11,17,4,5,8,20,3,5,1,0,1.66,4.33,4.5
SP1,28/10/2018,Barcelona,Real Madrid,5,1,H,2,0,H,13,15,8,4,17,14,2,2,0,0,1.95,3.8,3.6
SP1,02/03/2019,Real Madrid,Barcelona,0,1,A,0,1,A,17,10,3,4,16,13,3,2,0,0,2.75,3.7,2.45
SP1,18/12/2019,Barcelona,Real Madrid,0,0,D,0,0,D,9,17,2,4,5,17,3,5,0,0,1.72,4.2,4.33
SP1,01/03/2020,Real Madrid,Barcelona,2,0,H,0,0,D,13,9,5,4,13,10,2,2,0,0,2.2,3.6,3.1
SP1,24/10/2020,Barcelona,Real Madrid,1,3,A,1,1,D,10,15,4,9,11,13,3,2,0,0,2,3.6,3.6
SP1,10/04/2021,Real Madrid,Barcelona,2,1,H,2,0,H,14,18,3,4,16,10,3,4,1,0,2.8,3.8,2.3
SP1,24/10/2021,Barcelona,Real Madrid,1,2,A,0,1,A,12,10,2,5,17,13,1,1,0,0,2.75,3.6,2.45
